Date,Open,High,Low,Close,Adj Close,Volume,RSI,Upper Bollinger band,Lower Bollinger band,%K (5 days stochastic oscillator),"%D Average(H,3)",EMA 12,EMA 26,Volume Weighted Average Price,William % R,Commodity Channel Index,Rate of Change (10 days),Aroon Up,Aroon Down,MACD,BUY/SELL
2010/03/22,526.013916,544.34021,526.013916,531.9328,482.116638,9446201,26.26188023,546.06313,479.8196607,64.21423494,89.904489,518.8959613,512.3706115,517.2717403,-22.57776863,143.2847732,0.06956476731,92,32,6.525349795,1
2010/03/23,533.914001,541.838928,533.418701,540.575867,489.950348,9232555,26.83176921,548.755327,481.8399358,79.45933313,83.62711393,522.2313314,514.4598897,517.603858,-6.849976368,141.273467,0.1020346312,96,28,7.771441722,1
2010/03/25,542.854309,543.349609,533.641602,540.600647,489.972748,10599676,25.94779437,553.5901604,482.4853009,79.59454869,79.44594996,525.0573799,516.396242,517.9829198,-6.804884192,124.3339122,0.08198266726,96,24,8.661137883,0
2010/03/26,543.349609,550.283875,542.433289,545.058411,494.013153,8341847,23.95535883,558.4412387,484.0484246,78.46941563,74.42270559,528.1344616,518.5193657,518.3636883,-8.580715283,129.7119954,0.08264062766,96,20,9.61509596,0
2010/03/29,546.668152,549.763794,540.377747,541.516968,490.803314,9345272,23.32537592,561.4842795,487.3169858,63.87753683,79.17443248,530.1933088,520.2228918,518.7474592,-14.54397285,109.2370109,0.07018402029,92,16,9.970416995,-1
2010/03/30,542.854309,547.658752,536.415344,538.966125,488.49118,8740250,19.16775044,563.1549761,492.5664072,32.89277656,73.98050038,531.5429728,521.6112794,519.0562449,-21.97120075,88.43913302,0.05846017519,88,12,9.931693385,-1
2010/03/31,541.318848,542.359009,530.620239,532.081421,482.251343,9990413,25.68115278,560.2310713,500.1249556,7.430884095,58.41324301,531.625811,522.3868455,519.3053522,-37.53827331,59.97517658,0.005899153257,84,8,9.238965526,-1
2010/04/01,533.938782,544.092529,533.443481,540.897827,490.242188,5777967,28.74755922,559.3038303,506.401492,52.26697646,34.7337325,533.052275,523.7580293,519.4857773,-19.35651287,69.35498405,0.02089371086,80,4,9.29424571,1
2010/04/05,543.101929,559.521301,543.101929,557.663879,505.437897,9189816,26.97929334,561.7964197,511.2889423,93.57317043,30.86354571,536.8386756,526.2695737,519.9618638,-3.725839175,113.8516988,0.04545243343,96,0,10.5691019,1
2010/04/06,558.704041,561.180542,554.840637,556.326599,504.225861,5760365,24.028607,562.3376456,517.4803301,84.11683615,51.09034366,539.8368177,528.49602,520.2885714,-13.80269748,121.371092,0.02852437416,96,0,11.34079765,0
2010/04/07,557.21814,569.452148,556.277039,559.546082,507.14389,9330868,24.84797713,561.1797963,523.007477,74.4898815,76.65232768,542.8690122,530.7960246,520.8658566,-22.80494749,132.6735589,0.05191122262,96,0,12.07298757,0
2010/04/08,561.180542,562.914124,545.578491,548.079773,496.751404,6794859,39.21184007,561.5708276,525.2238762,40.646581,84.05996269,543.6706677,532.0763023,521.1802158,-49.20176079,93.44746259,0.0138813189,92,16,11.59436542,-1
2010/04/09,548.897034,560.189941,548.897034,557.069519,504.899261,7765435,39.59918912,563.2792959,526.8940962,53.00749113,66.41776622,545.7320294,533.9276517,521.5680642,-28.50629142,106.6536054,0.03046402569,88,12,11.80437777,1
2010/04/12,567.124207,567.124207,556.054138,558.38208,506.088928,5860948,37.303896,564.8039722,527.8671704,53.6306147,56.04798455,547.6781911,535.7390908,521.8985864,-28.50765848,130.8529986,0.02444447922,96,8,11.93910026,-1
2010/04/13,558.704041,561.675903,550.432434,555.187378,503.19342,6447744,35.68158493,566.7908665,529.2023586,40.24891117,49.09489561,548.8334506,537.1797047,522.2118045,-36.73466066,96.84561627,0.02524465678,92,4,11.65374592,-1
2010/04/15,557.21814,562.121643,538.421326,540.229187,489.636108,11208408,45.68630427,565.4078862,530.5358132,6.29853498,48.962339,547.5097177,537.4055922,522.6028221,-75.2550203,32.51667583,0.002343490512,88,0,10.10412548,-1
2010/04/16,537.950745,542.359009,530.545959,537.034424,486.740509,8396400,51.95196051,565.6105515,529.8236875,17.73858879,33.39268695,545.8981341,537.3780983,522.7673334,-83.32279474,-57.60883075,0.009308731342,84,0,8.520035778,0
2010/04/19,534.830322,534.830322,520.565552,525.914856,476.662262,7563608,57.21236504,566.9865019,525.7129436,11.48938688,21.42867832,542.8237836,536.5289692,522.8126134,-89.05772863,-131.3436855,-0.02770018708,80,0,6.294814364,-1
2010/04/20,529.902039,534.805603,522.224854,526.608276,477.290741,7729453,58.31575039,568.1421954,522.4274369,14.54112708,11.84217022,540.3290901,535.7941031,522.866113,-87.63930301,-121.3653171,-0.05568874759,76,0,4.534987053,-1
2010/04/21,529.976379,531.80896,519.153931,522.101013,473.205658,8855050,58.74198304,569.628186,518.5321446,6.858829253,14.58970092,537.5247706,534.7798001,522.8839031,-94.14078237,-134.8558168,-0.0615206716,72,0,2.744970463,-1
